"다중 구두점","구두점 대체","(\.){2,}","\.",TRUE
"남편","유사단어 대체","신랑|남편","남편",TRUE
"베이비시터","유사단어 대체","베비시터|((육아|아이|아기)[[:space:]]*(도우미|돌보미))","베이비시터",TRUE
"텔레비전","유사단어 대체","TV|테레비|티브이|텔레비젼|티비","텔레비전",TRUE
"CCTV","유사단어 대체","(CC|cc|씨씨)[[:space:]]?(텔레비전|티비|tv|TV)","CCTV",TRUE
"할머니","유사단어 대체","할(미|머님|무니|매)","할머니",TRUE
"어머니","유사단어 대체","엄마|어머님|엄니|어무니","어머니",TRUE
"아버지","유사단어 대체","아버님|아빠|아부지","아버지",TRUE
"아들","유사단어 대체","아들(래미|아이|애|내미|램)","아들",TRUE
"딸","유사단어 대체","딸(래미|아이|애|내미|램)","딸",TRUE
"화이팅","유사단어 대체","파이팅|홧팅|퐈이팅","화이팅",TRUE
"모유량","유사단어 대체","모유[[:space:]]?[양|량]","모유량",TRUE
"베개","유사단어 대체","[베배][게개]","베개",TRUE
"초산","유사단어 대체","(첫|처음)[[:space:]]*출산","초산",TRUE
"급여","유사단어 대체","월급|봉급","급여",TRUE